Load;Gen
280,8149978;0
285,1516467;0
244,1329626;0
227,6498159;0
208,8576705;0
195,7313035;0
191,200621;0
196,9052062;0
187,9020514;0
205,9665712;0
195,4402532;0
197,1186431;0
186,7863587;0
188,3289251;0
199,544062;0
184,7199018;0
191,9476501;0
192,0058601;0
185,0691621;0
174,9503146;0
180,0727992;0
186,1072414;0
199,9903391;0
218,7436778;0
209,7405229;0
235,3044379;0
239,3112299;0
235,032791;127,4810669
231,4043644;162,23497
240,0485573;200,4137649
220,1698241;237,3526779
252,5928237;280,3138473
261,5765752;329,0527601
278,4380873;386,4900036
318,7000406;457,9433406
350,3275028;574,823077
308,7073149;648,3955755
399,8060479;655,821918
474,4119327;720,5346475
461,3146707;804,927681
394,6641599;872,564482
354,3051898;943,2769025
340,9168776;1015,969643
348,3871677;1065,911368
379,6265629;1109,932952
339,4616262;1156,309041
434,3440128;1186,327761
431,6275436;1235,637069
420,9557006;1257,908353
391,6566405;1279,746718
352,7529217;1303,614268
385,932652;1313,458876
362,0665302;1330,054613
361,6784632;1346,722025
369,8278706;1333,986586
358,4769103;1324,393338
350,5215363;1298,720208
390,5894562;1263,934699
401,6493663;1238,071769
442,2023699;1214,916878
345,088598;1161,347249
388,9401714;1129,54909
374,8727419;1054,111058
327,9166324;1015,782077
305,175905;953,7068525
293,514491;881,1172755
327,7225989;826,0245115
342,7601959;747,6133975
373,9995911;674,040084
351,0066201;590,945406
388,9401714;503,113341
435,1201468;428,4588069
445,9860234;347,4319994
416,2018796;270,6159098
469,4640781;201,9025016
491,0017978;144,4510078
474,1208824;100,0515472
535,4354716;67,00927855
487,2181443;43,89063019
500,6064565;0
445,6949731;0
445,1128726;0
450,8368612;0
471,9865138;0
479,3597872;0
491,5838983;0
483,8225579;0
444,8218223;0
440,4560684;0
353,6260725;0
369,0517366;0
372,1562727;0
344,2154473;0
303,1191498;0
317,7298731;0
301,5183733;0
